date,temperature,humidity,precipitation,wind_speed,disease_0,disease_1,disease_2,disease_3,disease_4,disease_5,disease_6,disease_7,disease_8,disease_9
2011-07-15,22.53,66.0,7.45,9.12,0,0,0,0,0,0,0,0,0,0
2011-07-16,18.56,70.54,63.11,7.26,0,0,0,0,0,0,0,0,0,0
2011-07-17,24.67,83.01,7.76,3.06,1,0,0,1,0,0,0,0,0,0
2011-07-18,34.59,46.46,46.34,16.97,0,0,0,1,0,0,0,0,0,0
2011-07-19,25.43,80.73,16.88,0.5,0,0,0,0,0,0,0,1,0,0
2011-07-20,26.95,63.97,5.52,5.54,0,0,0,0,0,0,0,0,0,0
2011-07-21,25.66,58.03,11.96,19.7,0,0,0,0,0,0,0,0,0,0
2011-07-22,23.94,79.22,18.24,16.65,0,0,0,0,0,0,0,0,0,0
2011-07-23,31.34,61.16,9.07,18.94,0,0,0,0,0,0,0,0,0,0
2011-07-24,35.0,60.2,24.21,5.81,0,0,0,0,0,0,0,0,0,0
2011-07-25,19.81,59.16,9.17,1.15,0,0,0,0,0,0,0,0,0,0
2011-07-26,27.7,74.36,21.08,10.52,0,0,0,0,0,0,0,0,0,0
2011-07-27,26.48,65.37,18.54,7.29,0,0,0,0,0,0,0,0,0,0
2011-07-28,24.54,62.3,51.58,2.43,0,0,0,0,0,0,0,0,0,0
2011-07-29,20.4,70.24,16.78,6.87,0,0,0,0,0,0,0,0,0,0
2011-07-30,22.66,72.16,42.06,7.39,0,0,0,0,0,0,0,0,0,0
2011-07-31,24.68,73.18,12.03,12.04,0,0,0,0,0,0,0,0,0,0
2011-08-01,22.65,73.72,11.53,16.82,0,0,0,0,0,0,0,0,0,0
2011-08-02,17.35,58.3,5.7,9.5,0,0,0,0,0,0,0,0,0,0
2011-08-03,28.47,62.27,14.09,5.05,0,0,0,0,0,1,0,0,1,1
2011-08-04,26.59,63.12,7.97,11.02,0,0,0,0,0,0,0,0,0,0
2011-08-05,19.33,72.45,21.08,12.15,0,0,0,0,0,0,0,0,0,0
2011-08-06,29.24,71.2,7.39,14.3,0,0,0,0,0,0,0,1,0,0
2011-08-07,25.23,71.62,11.29,4.71,0,0,0,0,0,0,0,0,0,0
2011-08-08,24.91,72.37,8.69,5.9,0,0,0,1,0,0,0,0,0,0
2011-08-09,15.0,70.9,35.86,8.67,0,0,0,0,0,0,0,0,0,0
2011-08-10,35.0,66.3,13.56,17.54,0,0,0,0,0,0,0,0,0,0
2011-08-11,31.06,65.12,16.12,8.58,0,1,0,0,1,0,0,0,0,0
2011-08-12,34.47,82.38,75.43,6.03,0,0,0,0,0,0,0,0,0,0
2011-08-13,25.92,60.46,49.26,15.98,0,0,1,0,1,0,0,0,0,0
2011-08-14,29.84,60.93,8.79,12.05,0,0,1,0,0,0,0,0,0,0
2011-08-15,18.12,76.42,24.53,15.26,0,0,0,0,0,0,0,0,0,0
2011-08-16,26.05,55.79,95.0,14.67,0,0,0,0,0,0,0,0,0,0
2011-08-17,33.55,69.7,12.34,5.21,0,0,0,0,0,0,0,0,0,0
2011-08-18,18.8,77.98,7.52,7.07,0,0,0,0,0,0,0,0,0,0
2011-08-19,21.44,55.5,30.46,8.61,0,0,1,0,0,0,1,0,1,0
2011-08-20,35.0,82.85,13.07,18.31,0,0,0,0,0,0,0,0,0,0
2011-08-21,28.61,74.61,19.74,14.59,0,0,0,0,0,0,0,0,0,0
2011-08-22,26.39,74.52,6.07,22.94,0,0,0,0,0,0,1,0,1,0
2011-08-23,31.18,66.11,21.03,13.46,0,0,0,0,0,0,0,0,0,0
2011-08-24,18.4,90.39,71.94,7.52,0,0,0,1,0,0,0,1,0,1
2011-08-25,27.21,61.17,43.09,12.48,0,0,0,0,0,0,0,0,0,0
2011-08-26,22.72,80.99,8.66,9.57,0,0,0,0,0,0,0,0,0,0
2011-08-27,29.52,53.36,16.7,11.48,0,0,0,0,0,0,0,0,0,0
2011-08-28,25.8,61.28,31.86,10.15,1,0,0,0,0,0,0,1,0,1
2011-08-29,22.35,53.26,70.76,15.53,0,0,0,0,0,0,0,0,0,0
2011-08-30,22.5,49.29,6.65,10.08,0,0,0,0,0,0,0,0,0,0
2011-08-31,20.65,83.4,41.21,6.81,0,0,0,0,0,0,0,0,0,0
2011-09-01,28.3,68.76,28.74,3.06,0,0,0,0,0,0,0,0,0,0
2011-09-02,16.5,87.76,16.39,11.32,0,0,0,0,0,0,0,0,0,0
2011-09-03,33.72,62.7,6.32,8.78,0,0,0,0,0,0,0,0,0,0
2011-09-04,21.29,80.44,14.82,5.93,0,0,0,0,0,0,0,0,0,0
2011-09-05,25.78,50.26,27.13,7.3,0,0,1,0,0,0,0,1,0,1
2011-09-06,28.71,72.51,14.6,1.63,0,0,0,0,0,0,0,0,0,0
2011-09-07,23.41,72.22,9.22,5.29,0,0,0,0,0,0,0,0,0,0
2011-09-08,26.79,84.56,19.96,6.94,0,0,0,0,0,0,0,0,0,0
2011-09-09,19.22,61.75,10.3,7.16,0,1,0,1,0,0,0,0,1,0
2011-09-10,17.75,87.65,11.79,1.34,0,0,0,0,0,0,0,0,0,0
2011-09-11,28.41,58.49,18.05,8.24,1,0,0,0,0,0,0,0,0,1
2011-09-12,18.0,55.61,6.55,8.11,0,0,0,0,0,0,0,0,0,0
