date,temperature,humidity,precipitation,wind_speed,country,disease_0,disease_1,disease_2,disease_3,disease_4,disease_5,disease_6,disease_7,disease_8,disease_9
2015-01-01,19.22625,24.875,0.0,2.419166666666667,,0,0,0,0,0,0,0,0,0,0
2015-01-02,19.97,21.291666666666668,0.0,2.3874999999999997,,0,0,0,0,0,0,0,0,0,0
2015-01-03,20.196666666666665,27.958333333333332,0.0,2.3470833333333334,,0,0,0,0,0,0,0,0,0,0
2015-01-04,20.9175,34.75,0.0,2.1141666666666667,,0,0,0,0,0,0,0,0,0,0
2015-01-05,21.201249999999998,37.791666666666664,0.0,2.21125,,0,0,0,0,0,0,0,0,0,0
2015-01-06,20.98,42.583333333333336,0.0,2.3091666666666666,,0,0,0,0,0,0,0,0,0,0
2015-01-07,21.240416666666665,37.458333333333336,0.0,2.509583333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-08,20.54,43.041666666666664,0.0,2.9145833333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-09,20.949166666666667,47.708333333333336,0.0,2.1729166666666666,,0,0,0,0,0,0,0,0,0,0
2015-01-10,22.224999999999998,50.083333333333336,0.0,2.7495833333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-11,19.186249999999998,71.875,1.8,3.6824999999999997,,0,0,0,0,0,0,0,0,0,0
2015-01-12,18.435416666666665,78.375,3.57,2.8320833333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-13,20.435,60.791666666666664,1.38,2.4675,,0,0,0,0,0,0,0,0,0,0
2015-01-14,20.215416666666666,44.583333333333336,0.0,1.9979166666666668,,0,0,0,0,0,0,0,0,0,0
2015-01-15,20.33625,34.833333333333336,0.0,2.347916666666667,,0,0,0,0,0,0,0,0,0,0
2015-01-16,20.231666666666666,43.5,0.0,2.5241666666666664,,0,0,0,0,0,0,0,0,0,0
2015-01-17,20.568749999999998,49.708333333333336,0.0,2.442083333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-18,20.559166666666666,51.25,0.0,2.347916666666667,,0,0,0,0,0,0,0,0,0,0
2015-01-19,19.41208333333333,65.41666666666667,0.49,2.1533333333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-20,22.277083333333334,60.666666666666664,0.21000000000000002,2.0483333333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-21,20.794583333333332,65.0,1.21,2.1358333333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-22,21.800416666666667,56.458333333333336,0.0,2.0029166666666667,,0,0,0,0,0,0,0,0,0,0
2015-01-23,21.35166666666667,49.708333333333336,0.0,2.1750000000000003,,0,0,0,0,0,0,0,0,0,0
2015-01-24,20.708333333333332,45.375,0.0,2.1458333333333335,,0,0,0,0,0,0,0,0,0,0
2015-01-25,20.22,45.25,0.0,2.19,,0,0,0,0,0,0,0,0,0,0
2015-01-26,19.317083333333333,43.583333333333336,0.0,2.3470833333333334,,0,0,0,0,0,0,0,0,0,0
2015-01-27,21.2575,36.5,0.0,2.0529166666666665,,0,0,0,0,0,0,0,0,0,0
2015-01-28,20.892500000000002,33.75,0.0,2.12,,0,0,0,0,0,0,0,0,0,0
2015-01-29,20.855,29.625,0.0,2.091666666666667,,0,0,0,0,0,0,0,0,0,0
2015-01-30,21.735416666666666,35.541666666666664,0.0,2.2583333333333333,,0,0,0,0,0,0,0,0,0,0
2015-01-31,22.081666666666667,35.75,0.0,2.3820833333333336,,0,0,0,0,0,0,0,0,0,0
2015-02-01,21.412499999999998,30.041666666666668,0.0,2.5208333333333335,,0,0,0,0,0,0,0,0,0,0
2015-02-02,20.857916666666664,21.083333333333332,0.0,2.1529166666666666,,0,0,0,0,0,0,0,0,0,0
2015-02-03,22.419583333333332,27.333333333333332,0.0,2.0504166666666666,,0,0,0,0,0,0,0,0,0,0
2015-02-04,22.170416666666668,39.125,0.0,1.9725,,0,0,0,0,0,0,0,0,0,0
2015-02-05,21.970416666666665,44.791666666666664,0.0,2.11375,,0,0,0,0,0,0,0,0,0,0
2015-02-06,22.044166666666666,44.166666666666664,0.0,2.4,,0,0,0,0,0,0,0,0,0,0
2015-02-07,22.28,34.458333333333336,0.0,2.2204166666666665,,0,0,0,0,0,0,0,0,0,0
2015-02-08,23.122083333333336,28.125,0.0,1.3204166666666668,,0,0,0,0,0,0,0,0,0,0
2015-02-09,24.419166666666666,29.833333333333332,0.0,1.62625,,0,0,0,0,0,0,0,0,0,0
2015-02-10,24.654583333333335,34.75,0.0,1.5279166666666668,,0,0,0,0,0,0,0,0,0,0
2015-02-11,25.073333333333334,41.166666666666664,0.0,1.5245833333333334,,0,0,0,0,0,0,0,0,0,0
2015-02-12,24.388333333333335,45.041666666666664,0.0,2.5233333333333334,,0,0,0,0,0,0,0,0,0,0
2015-02-13,23.677083333333332,47.0,0.0,2.368333333333333,,0,0,0,0,0,0,0,0,0,0
2015-02-14,22.996666666666666,42.541666666666664,0.0,2.6179166666666664,,0,0,0,0,0,0,0,0,0,0
2015-02-15,23.435833333333335,42.0,0.0,2.279166666666667,,0,0,0,0,0,0,0,0,0,0
2015-02-16,24.28833333333333,39.833333333333336,0.0,1.9154166666666665,,0,0,0,0,0,0,0,0,0,0
2015-02-17,24.507499999999997,36.833333333333336,0.0,2.07125,,0,0,0,0,0,0,0,0,0,0
2015-02-18,23.416666666666668,30.416666666666668,0.0,2.51,,0,0,0,0,0,0,0,0,0,0
2015-02-19,25.182916666666667,30.0,0.0,2.14,,0,0,0,0,0,0,0,0,0,0
2015-02-20,25.5625,37.791666666666664,0.0,1.7170833333333333,,0,0,0,0,0,0,0,0,0,0
2015-02-21,24.38291666666667,53.0,0.58,2.654166666666667,,0,0,0,0,0,0,0,0,0,0
2015-02-22,24.431250000000002,54.791666666666664,0.13,2.8204166666666666,,0,0,0,0,0,0,0,0,0,0
2015-02-23,23.855833333333333,55.708333333333336,0.31,2.31125,,0,0,0,0,0,0,0,0,0,0
2015-02-24,24.897499999999997,52.75,0.28,2.06875,,0,0,0,0,0,0,0,0,0,0
2015-02-25,24.988333333333333,47.875,0.0,1.8508333333333333,,0,0,0,0,0,0,0,0,0,0
2015-02-26,23.355416666666667,46.125,0.0,2.62375,,0,0,0,0,0,0,0,0,0,0
2015-02-27,24.965833333333332,34.25,0.0,2.879583333333333,,0,0,0,0,0,0,0,0,0,0
2015-02-28,24.442916666666665,29.625,0.0,2.7025,,0,0,0,0,0,0,0,0,0,0
2015-03-01,24.1125,29.833333333333332,0.0,2.481666666666667,,0,0,0,0,0,0,0,0,0,0
