utseconds, gps_lat, gps_lon, gps_alt, AOA, T_CAPS, T_MMS, qc_CAPS, qc_MMS, ps_CAPS, ps_MMS, PAS_CAPS, TAS_MMS
58924, 23.70228, -120.51729, 8702.31, 1.89, 272.30, 252.22, 382.321, 347.190, 105.48, 147.82, 191.72, 232.49
58924, 23.70020, -120.51728, 8707.28, 1.84, 272.00, 252.18, 382.069, 346.971, 105.39, 147.99, 191.61, 232.65
58924, 23.69810, -120.51727, 8711.99, 1.84, 272.03, 252.14, 381.817, 346.760, 105.56, 147.98, 191.81, 232.69
58924, 23.69602, -120.51726, 8716.48, 1.86, 272.81, 252.12, 382.069, 346.541, 106.00, 148.45, 192.37, 233.08
58924, 23.69392, -120.51725, 8720.79, 1.89, 271.52, 252.15, 381.314, 346.300, 106.09, 148.53, 192.14, 233.22
58924, 23.69185, -120.51724, 8725.06, 1.91, 272.57, 252.11, 381.565, 346.092, 105.56, 148.55, 192.05, 233.27
58924, 23.68973, -120.51722, 8729.31, 1.97, 271.59, 252.03, 381.062, 345.900, 105.65, 148.59, 191.88, 233.32
58924, 23.68765, -120.51721, 8733.78, 1.98, 272.30, 252.02, 381.314, 345.691, 105.13, 148.48, 191.67, 233.31
58924, 23.68555, -120.51721, 8738.41, 1.94, 271.83, 252.01, 381.062, 345.500, 105.39, 148.13, 191.76, 233.11
58924, 23.68345, -120.51721, 8742.99, 1.91, 271.76, 251.98, 380.559, 345.270, 104.95, 147.99, 191.50, 233.07
58924, 23.68137, -120.51720, 8747.68, 1.90, 272.35, 251.94, 380.055, 345.061, 105.48, 148.00, 192.23, 233.12
58924, 23.67928, -120.51719, 8752.28, 1.85, 271.76, 251.91, 379.803, 344.861, 105.13, 147.78, 191.80, 233.01
58924, 23.67719, -120.51719, 8756.68, 1.82, 272.64, 251.88, 379.300, 344.681, 104.78, 147.82, 191.95, 233.08
